agent,folder,dataset,in_paper,n_traces,n_valid
claude_opus_4_6,2wikimultihop_test,2wikimultihop,True,75,75
claude_opus_4_6,2wikimultihop_train,2wikimultihop,True,150,150
claude_opus_4_6,2wikimultihop_val,2wikimultihop,True,75,75
claude_opus_4_6,deepshop_ood,deepshop,True,150,150
claude_opus_4_6,frames_test,frames,True,850,850
claude_opus_4_6,webgames_test,webgames,False,25,25
claude_opus_4_6,webgames_train,webgames,False,100,100
claude_opus_4_6,webgames_val,webgames,False,25,25
claude_opus_4_6,webshop_test,webshop,True,75,75
claude_opus_4_6,webshop_train,webshop,True,150,150
claude_opus_4_6,webshop_val,webshop,True,75,75
gemini_3_1,2wikimultihop_test,2wikimultihop,True,74,74
gemini_3_1,2wikimultihop_train,2wikimultihop,True,144,144
gemini_3_1,2wikimultihop_val,2wikimultihop,True,72,72
gemini_3_1,deepshop_ood,deepshop,True,148,148
gemini_3_1,frames_test,frames,True,775,775
gemini_3_1,webgames_test,webgames,False,21,21
gemini_3_1,webgames_train,webgames,False,90,90
gemini_3_1,webgames_val,webgames,False,20,20
gemini_3_1,webshop_test,webshop,True,74,74
gemini_3_1,webshop_train,webshop,True,148,148
gemini_3_1,webshop_val,webshop,True,75,75
gemini_3_flash,2wikimultihop_test,2wikimultihop,True,74,74
gemini_3_flash,2wikimultihop_train,2wikimultihop,True,144,144
gemini_3_flash,2wikimultihop_val,2wikimultihop,True,71,71
gemini_3_flash,deepshop_ood,deepshop,True,142,142
gemini_3_flash,frames_test,frames,True,782,782
gemini_3_flash,webgames_test,webgames,False,22,22
gemini_3_flash,webgames_train,webgames,False,82,82
gemini_3_flash,webgames_val,webgames,False,23,23
gemini_3_flash,webshop_test,webshop,True,71,71
gemini_3_flash,webshop_train,webshop,True,143,143
gemini_3_flash,webshop_val,webshop,True,73,73
gemma-4-31B-it,2wikimultihop_test,2wikimultihop,True,74,74
gemma-4-31B-it,2wikimultihop_train,2wikimultihop,True,148,148
gemma-4-31B-it,2wikimultihop_val,2wikimultihop,True,75,75
gemma-4-31B-it,deepshop_ood,deepshop,True,148,148
gemma-4-31B-it,frames_test,frames,True,794,794
gemma-4-31B-it,webgames_test,webgames,False,23,23
gemma-4-31B-it,webgames_train,webgames,False,97,97
gemma-4-31B-it,webgames_val,webgames,False,24,24
gemma-4-31B-it,webshop_test,webshop,True,74,74
gemma-4-31B-it,webshop_train,webshop,True,149,149
gemma-4-31B-it,webshop_val,webshop,True,74,74
gemma_4_26B_A4B_it,2wikimultihop_test,2wikimultihop,True,70,68
gemma_4_26B_A4B_it,2wikimultihop_train,2wikimultihop,True,141,141
gemma_4_26B_A4B_it,2wikimultihop_val,2wikimultihop,True,68,68
gemma_4_26B_A4B_it,deepshop_ood,deepshop,True,138,135
gemma_4_26B_A4B_it,frames_test,frames,True,733,720
gemma_4_26B_A4B_it,webgames_test,webgames,False,19,17
gemma_4_26B_A4B_it,webgames_train,webgames,False,89,87
gemma_4_26B_A4B_it,webgames_val,webgames,False,25,24
gemma_4_26B_A4B_it,webshop_test,webshop,True,75,75
gemma_4_26B_A4B_it,webshop_train,webshop,True,146,145
gemma_4_26B_A4B_it,webshop_val,webshop,True,75,75
glm_4.6v,2wikimultihop_test,2wikimultihop,True,74,74
glm_4.6v,2wikimultihop_train,2wikimultihop,True,147,147
glm_4.6v,2wikimultihop_val,2wikimultihop,True,74,74
glm_4.6v,deepshop_ood,deepshop,True,150,150
glm_4.6v,frames_test,frames,True,817,817
glm_4.6v,webgames_test,webgames,False,22,22
glm_4.6v,webgames_train,webgames,False,95,95
glm_4.6v,webgames_val,webgames,False,25,25
glm_4.6v,webshop_test,webshop,True,74,74
glm_4.6v,webshop_train,webshop,True,148,148
glm_4.6v,webshop_val,webshop,True,75,75
glm_4.6v_flash,2wikimultihop_test,2wikimultihop,True,70,70
glm_4.6v_flash,2wikimultihop_train,2wikimultihop,True,148,148
glm_4.6v_flash,2wikimultihop_val,2wikimultihop,True,64,64
glm_4.6v_flash,deepshop_ood,deepshop,True,147,147
glm_4.6v_flash,frames_test,frames,True,804,804
glm_4.6v_flash,webgames_test,webgames,False,24,24
glm_4.6v_flash,webgames_train,webgames,False,92,92
glm_4.6v_flash,webgames_val,webgames,False,25,25
glm_4.6v_flash,webshop_test,webshop,True,74,74
glm_4.6v_flash,webshop_train,webshop,True,138,138
glm_4.6v_flash,webshop_val,webshop,True,75,75
gpt_5_4,2wikimultihop_test,2wikimultihop,True,75,75
gpt_5_4,2wikimultihop_train,2wikimultihop,True,150,150
gpt_5_4,2wikimultihop_val,2wikimultihop,True,75,75
gpt_5_4,deepshop_ood,deepshop,True,150,150
gpt_5_4,frames_test,frames,True,818,817
gpt_5_4,webgames_test,webgames,False,25,25
gpt_5_4,webgames_train,webgames,False,100,100
